producto_codigo,producto_nombre,codigo_softland,descripcion,cantidad,um,seccion,observaciones,plano,categoria
BATEA-305,BATEA 305 ECLH - CAÑO CUADRADO,07026,Tubo cuadrado nor fab 160x80x6.35 mm sin costura,12.0,MTS,"CAÑOS, TUBOS Y HIERROS","Tubo S/ Costura conformado, concetración de carbono 0,20% de 160X80x6,35mm de espesor x 12 metros",C/CORTES (ARSEMET/CUFER),HIERROS
BATEA-305,BATEA 305 ECLH - CAÑO CUADRADO,5075,"ESTRUCTURAL DE 80 X 40 X 3/16""",22.0,MTS,"CAÑOS, TUBOS Y HIERROS","Tubo C on Costura conformado, concetración de carbono 0,10 % de 80X40x 3/16""mm de espesor // .",,HIERROS
BATEA-305,BATEA 305 ECLH - CAÑO CUADRADO,5077,Tubo estructural de 100x60x6 mm,3.0,MTS,"CAÑOS, TUBOS Y HIERROS",TE-20 (Tubo Estructural con carbono 20%),,HIERROS
BATEA-305,BATEA 305 ECLH - CAÑO CUADRADO,370,Caño 60 (2500 mm de largo),28.0,UN,"CAÑOS, TUBOS Y HIERROS","Caño S/ Costura tipo petrolero (E235), concentración de carbono 0,20% de Ø 60.3X4,8mm de espesor",C/CORTES (ARSEMET/CUFER),HIERROS
BATEA-305,BATEA 305 ECLH - CAÑO CUADRADO,5054,Caño 73,14.0,MTS,"CAÑOS, TUBOS Y HIERROS","Caño S/ Costura tipo petrolero (E235), concentración de carbono 0,20%, Resistencia a la Tracción 650Mpa Ø73X5.5mm de espesor",,HIERROS
BATEA-305,BATEA 305 ECLH - CAÑO CUADRADO,5144,"Caño 60 x 60 x 4,75 mm",246.0,MTS,"CAÑOS, TUBOS Y HIERROS",SAE 1010 / IRAM-IAS ( U 500-2592 ),C/CORTES (ARSEMET/CUFER)contempla tiras de 6 mts,HIERROS
BATEA-305,BATEA 305 ECLH - CAÑO CUADRADO,5098,Caño 60 x 60 x 3.2 mm,108.0,MTS,"CAÑOS, TUBOS Y HIERROS",SAE 1010 / IRAM-IAS ( U 500-2592 ),C/CORTES (ARSEMET/CUFER),HIERROS
BATEA-305,BATEA 305 ECLH - CAÑO CUADRADO,5148,"Caño 120 x 60 x 4,75 mm",52.0,MTS,"CAÑOS, TUBOS Y HIERROS",SAE 1010 / IRAM-IAS ( U 500-2592 ),C/CORTES (ARSEMET/CUFER),HIERROS
BATEA-305,BATEA 305 ECLH - CAÑO CUADRADO,5162,"Tubo estructural de 30x30x 2 ,5 mm",18.0,MTS,"CAÑOS, TUBOS Y HIERROS",TE-20 (Tubo Estructural con carbono 20%),,HIERROS
BATEA-305,BATEA 305 ECLH - CAÑO CUADRADO,5164,Tubo estructural de 40x40x3.2 mm,78.0,MTS,"CAÑOS, TUBOS Y HIERROS",TE-20 (Tubo Estructural con carbono 20%) ( AJUSTADO REFORMA YARIS ),,HIERROS
