codigo_softland,descripcion,unidad_medida,rubro,prefijo_rubro,subrubro,prefijo_subrubro
1,BULON 3/16 X 1,UN,TALLER,TAL,BULONERIA,BUL
2,"BULON 3/8"" x 1´´ paso fino",UN,TALLER,TAL,BULONERIA,BUL
3,"BULON 3/8 X4""",UN,TALLER,TAL,BULONERIA,BUL
4,BULONES DE RUEDA,UN,TALLER,TAL,FRENO Y SUSPENSION,FYS
5,"BULON 5/16X 1""",UN,TALLER,TAL,BULONERIA,BUL
6,BULON DE 5/6 X 1 1/2,UN,TALLER,TAL,BULONERIA,BUL
7,BULON DE3/8 X 1,UN,TALLER,TAL,BULONERIA,BUL
8,BULON DE 3/8 X 2,UN,TALLER,TAL,BULONERIA,BUL
9,BULON 3/8 X 3,UN,TALLER,TAL,BULONERIA,BUL
10,BULON DE 5/16 X 2,UN,TALLER,TAL,BULONERIA,BUL
11,BULON DE 5/16 X 3,UN,TALLER,TAL,BULONERIA,BUL
12,BULON DE 1/4 X 1,UN,TALLER,TAL,CONSUMIBLES,CSM
13,BULON DE 1/4 X 2,UN,TALLER,TAL,BULONERIA,BUL
14,BULON DE 1/4 X 3,UN,TALLER,TAL,BULONERIA,BUL
15,BULON 3/16 X 2,UN,TALLER,TAL,FERRETERIA,FER
16,BULON DE 3/16 X 3,UN,TALLER,TAL,BULONERIA,BUL
17,BULON 9/16 X 3,UN,TALLER,TAL,BULONERIA,BUL
18,BULON 9/16 X 4,UN,TALLER,TAL,BULONERIA,BUL
19,BULON DE 3/8 X 2 1/2,UN,TALLER,TAL,BULONERIA,BUL
20,BULON RUEDA C/TUERCA RANDON,UN,TALLER,TAL,BULONERIA,BUL
21,BULON DE 3/8 X 3/4,UN,TALLER,TAL,BULONERIA,BUL
22,BULON 5/16´´ X ´´ 1/2,UN,TALLER,TAL,BULONERIA,BUL
23,BULON DE ACERO PASO FINO DE 1/2 X 3,UN,TALLER,TAL,BULONERIA,BUL
24,TUERCAS RUEDA PASO FINO CALIDAD 10.8,UN,TALLER,TAL,FRENO Y SUSPENSION,FYS
25,BULON DE1/4 X 1 1/2,UN,TALLER,TAL,BULONERIA,BUL
26,BULON DE 1/2 ACERO PASO FINO,UN,TALLER,TAL,BULONERIA,BUL
27,BULON DE 1/2 PASO GRUESO 13 HILOS,UN,TALLER,TAL,BULONERIA,BUL
28,BULON DE ACERO PASO FINO NF 7/8 X 3,UN,TALLER,TAL,BULONERIA,BUL
29,BULON DE ACERO PASO FINO NF DE 3/4 X 4,UN,TALLER,TAL,BULONERIA,BUL
30,BULON DE ACERO PASO GRUESO 3/8 X 1,UN,TALLER,TAL,FERRETERIA,FER
31,BULON DE ACERO PASO FINO 5/8 X 2 1/2,UN,TALLER,TAL,BULONERIA,BUL
32,BULON DE ACERO PASO FINO 7/8 X 7,UN,TALLER,TAL,BULONERIA,BUL
33,"BULON DE 10 MM X 1""",UN,TALLER,TAL,BULONERIA,BUL
34,TUERCA MARIPOSA DE 10 MM,UN,TALLER,TAL,BULONERIA,BUL
35,BULON DE ACERO PASO FINO 7/8 X 5 1/2,UN,TALLER,TAL,BULONERIA,BUL
36,BULON DE ACERO PASO FINO 7/8 X 3 1/2,UN,TALLER,TAL,BULONERIA,BUL
37,"BULON EXAGONAL GR8 NF 7/8 "" X 6 PASO FINO",UN,TALLER,TAL,BULONERIA,BUL
38,"BULON DE 1"" W X 9"" CON TUERCA Y 2 ARANDELAS PLANAS",UN,TALLER,TAL,FERRETERIA,FER
39,BULON DE1/4 W X 2 1/2,UN,TALLER,TAL,BULONERIA,BUL
40,BULON 1/2 X 2 1/2 PASO FINO,UN,TALLER,TAL,BULONERIA,BUL
41,BULON 3/8 X 1 1/2 W ACERO,UN,TALLER,TAL,BULONERIA,BUL
42,"BULON 5/8 x 3""",UN,TALLER,TAL,BULONERIA,BUL
43,"Tornillo 3/8 x 1""",UN,TALLER,TAL,BULONERIA,BUL
44,ABSORBENTE PARA DERRAMES,KG,TALLER,TAL,EPP,EPP
45,BULON DE 1/4 X 1 1/4 C/TUERCA AUTOFRENANTE Y ARANDELA,UN,TALLER,TAL,BULONERIA,BUL
46,BULON DE 1/4 X 1/2 CON ARANDELA GROVER,UN,TALLER,TAL,BULONERIA,BUL
47,VIDRIOS NEGROS N12,UN,TALLER,TAL,EPP,EPP
48,NO USADO,UN,TALLER,TAL,FERRETERIA,FER
49,PAR DE GUANTES PARA SOLDAR,DC,TALLER,TAL,EPP,EPP
50,THINNER TEDE UNIVERSAL 00,LT,TALLER,TAL,PINTURA,PIN
51,CABLE DE 1 X 1 NORMALIZADO ENVAINADO,MT,TALLER,TAL,ELECTRICIDAD,ELE
52,GUIA DE LONA BISELADA POR 6 MTS,MT,TALLER,TAL,LONAS,LON
53,CALCOS PLANCHA COLORES 10 MM DE DIAMETRO,UN,TALLER,TAL,CALCOS Y CARTELES,CYC
54,TERMOCONTRAIBLE DIAM .4.8,MT,TALLER,TAL,ELECTRICIDAD,ELE
55,CALCOS FLECHA INDICATORIA SUBE Y BAJA,UN,TALLER,TAL,CALCOS Y CARTELES,CYC
56,CAJA ESTANCA CON 2 ENTRADAS,UN,TALLER,TAL,ELECTRICIDAD,ELE
57,FARO BAIMIL 3000 E - AU AMBAR,UN,TALLER,TAL,ELECTRICIDAD,ELE
58,TORQUIMETRO PARA CONTROL DE TORNILLOS,UN,TALLER,TAL,BULONERIA,BUL
59,BALANZA,UN,TALLER,TAL,FERRETERIA,FER
60,AFILADOR DE MECHA,UN,TALLER,TAL,CORTE Y ABRASIVOS,CYA
61,FARO BAIMIL 3000 E - RB ROJO,UN,TALLER,TAL,ELECTRICIDAD,ELE
62,FARO BAIMIL 3030 E ROJO,UN,TALLER,TAL,ELECTRICIDAD,ELE
